patron_id,first_name,last_name,membership_type,join_date
P001,Sofia,Rodriguez,Standard,2020-01-24
P002,Marcus,Jean-Baptiste,Standard,2021-03-24
P003,Isabella,Gonzalez,Student,2024-02-19
P004,Diego,Martinez,Standard,2020-02-07
P005,Valentina,Pierre,Standard,2024-01-18
P006,Jayden,Lopez,Student,2024-07-08
P007,Camila,Hernandez,Child,2022-01-25
P008,Alejandro,Williams,Standard,2023-06-09
P009,Destiny,Joseph,Student,2022-02-03
P010,Carlos,Garcia,Standard,2022-06-20
P011,Brianna,Brown,Student,2020-12-15
P012,Jose,Perez,Standard,2023-02-18
P013,Aaliyah,Charles,Standard,2024-06-19
P014,Gabriel,Sanchez,Standard,2020-01-22
P015,Tatiana,Thomas,Standard,2022-02-28
P016,David,Alvarez,Student,2020-07-09
P017,Maria,Beaumont,Student,2022-03-12
P018,Kevin,Cruz,Student,2022-12-22
P019,Nicole,Desrosiers,Student,2024-11-06
P020,Samuel,Ramirez,Student,2021-03-15
